name,ringGauge,lengthMm,weightGrams,weightSource,status
Hoyo de Monterrey Palmas Extra,0,0,8.11,estimated: size formula,kept existing weight
Bolivar Tubos No.2,0,0,7.7,estimated: size formula,kept existing weight
Juan Lopez Seleccion No.2,0,0,11.66,estimated: size formula,kept existing weight
Quai d'Orsay No.50,0,0,10.34,estimated: size formula,kept existing weight
Oliva Serie V Lancero,38,178,17.0,estimated: size formula,kept existing weight
My Father The Judge Grand Robusto,60,127,19.2,estimated: size formula,kept existing weight
AJ Fernandez Bellas Artes Robusto,52,140,18.3,estimated: size formula,kept existing weight
Alec Bradley Black Market Esteli Robusto,52,127,16.6,estimated: size formula,kept existing weight
Foundation Charter Oak Maduro Rothschild,50,114,14.4,estimated: size formula,kept existing weight
Crowned Heads Mil Dias Robusto,52,127,16.6,estimated: size formula,kept existing weight
EP Carrillo Pledge Prequel,50,127,16.0,estimated: size formula,kept existing weight
Drew Estate Undercrown Maduro Robusto,54,127,17.3,estimated: size formula,kept existing weight
Davidoff Nicaragua Robusto,50,133,16.8,estimated: size formula,kept existing weight
Padron 4000 Maduro,54,165,16.9,estimated: size formula,kept existing weight
Plasencia Cosecha 149 Santa Fe Gordo,52,152,19.9,estimated: size formula,kept existing weight
Arturo Fuente Rosado Sungrown Magnum R 52,52,133,17.4,estimated: size formula,kept existing weight
Rocky Patel Vintage 1990 Robusto,50,140,17.6,estimated: size formula,kept existing weight
Perdomo Habano Bourbon Barrel Aged Robusto,54,127,17.3,estimated: size formula,kept existing weight
Joya de Nicaragua Clasico Medio Siglo,52,102,13.4,estimated: size formula,kept existing weight
La Flor Dominicana Air Bender Chisel,64,152,24.5,estimated: size formula,kept existing weight
Warped Corto X46,46,127,14.7,estimated: size formula,kept existing weight
Montecristo Open Regata,46,135,15.6,estimated: size formula,kept existing weight
Cohiba Panetelas,26,115,7.5,estimated: size formula,kept existing weight
Plasencia Sixto II Hexagon,60,152,23.0,estimated: size formula,kept existing weight
Cohiba Siglo III,42,155,16.4,estimated: size formula,kept existing weight
Cohiba Siglo V,43,170,18.4,estimated: size formula,kept existing weight
Montecristo No. 1,42,165,17.5,estimated: size formula,kept existing weight
Hoyo de Monterrey Epicure No. 1,46,143,16.6,estimated: size formula,kept existing weight
Hoyo de Monterrey Le Hoyo de San Juan,54,150,15.23,estimated: size formula,kept existing weight
Partagas Shorts,42,110,11.6,estimated: size formula,kept existing weight
Partagas Lusitanias,49,194,17.86,estimated: size formula,kept existing weight
Punch Coronations,42,129,13.7,estimated: size formula,kept existing weight
Oliva Serie O Robusto,50,127,16.0,estimated: size formula,kept existing weight
Oliva Serie G Robusto,50,127,16.0,estimated: size formula,kept existing weight
Arturo Fuente Hemingway Classic,48,178,28.35,estimated: size formula,kept existing weight
AJ Fernandez Enclave Robusto,52,127,16.6,estimated: size formula,kept existing weight
My Father Flor de Las Antillas Toro,52,152,19.9,estimated: size formula,kept existing weight
Davidoff Signature 2000,43,129,14.0,estimated: size formula,kept existing weight
Davidoff Escurio Robusto,54,114,15.5,estimated: size formula,kept existing weight
Montecristo Double Edmundo,50,155,19.5,estimated: size formula,kept existing weight
Montecristo Open Master,50,124,15.6,estimated: size formula,kept existing weight
Bolivar Royal Coronas,50,124,15.6,estimated: size formula,kept existing weight
Partagas Aristocrats,40,129,13.0,estimated: size formula,kept existing weight
Oliva Serie V Torpedo,56,152,20.2,estimated: size formula,kept existing weight
Montecristo Open Junior,38,110,10.5,estimated: size formula,kept existing weight
Montecristo Open Eagle,54,150,20.4,estimated: size formula,kept existing weight
Montecristo Petit Edmundo,52,110,14.4,estimated: size formula,kept existing weight
Montecristo Media Corona,44,90,10.0,estimated: size formula,kept existing weight
Partagas Mille Fleurs,42,129,13.7,estimated: size formula,kept existing weight
Partagas 8-9-8 Varnished,43,170,18.4,estimated: size formula,kept existing weight
Romeo y Julieta Mille Fleurs,42,129,13.7,estimated: size formula,kept existing weight
Romeo y Julieta Short Churchills,50,124,15.6,estimated: size formula,kept existing weight
Hoyo de Monterrey Epicure No.1,46,143,16.6,estimated: size formula,kept existing weight
Hoyo de Monterrey Le Hoyo du Depute,38,110,10.5,estimated: size formula,kept existing weight
Punch Short de Punch,50,120,15.1,estimated: size formula,kept existing weight
Punch Petit Coronas,42,129,13.7,estimated: size formula,kept existing weight
Juan Lopez Eminentes,52,132,17.3,estimated: size formula,kept existing weight
Juan Lopez Seleccion No.1,46,143,16.6,estimated: size formula,kept existing weight
Oliva Connecticut Reserve Robusto,50,127,16.0,estimated: size formula,kept existing weight
Oliva Master Blends 3 Robusto,50,127,16.0,estimated: size formula,kept existing weight
Padron 1964 Anniversary Torpedo Maduro,52,156,14.26,estimated: size formula,kept existing weight
Davidoff Nicaragua Robusto Box Press,48,127,15.4,estimated: size formula,kept existing weight
Plasencia Alma del Campo Tribu Robusto,52,127,16.6,estimated: size formula,kept existing weight
Foundation Tabernacle Robusto,52,127,16.6,estimated: size formula,kept existing weight
Plasencia Alma Fuerte Sixto II,60,152,22.7,verified: Neptune Cigar,kept existing weight
Plasencia Alma Fuerte Robustus II,55,127,17.6,estimated: size formula,kept existing weight
Plasencia Alma del Campo Guajiro,54,140,19.0,estimated: size formula,kept existing weight
Plasencia Alma del Campo Sendero,56,150,21.2,estimated: size formula,kept existing weight
Plasencia Cosecha 146 Monte Carlo,52,152,19.9,estimated: size formula,kept existing weight
Plasencia Cosecha 149 Santa Fe,52,127,16.6,estimated: size formula,kept existing weight
Plasencia Reserva 1898 Robusto,52,127,16.6,estimated: size formula,kept existing weight
Plasencia Reserva Original Churchill,50,178,22.4,estimated: size formula,kept existing weight
Plasencia Alma Fuerte Colorado Claro Robustus II,55,127,17.6,estimated: size formula,kept existing weight
Plasencia Reserva Original Corona,44,152,16.9,estimated: size formula,kept existing weight
Plasencia Reserva Original Nesticos,36,114,10.3,estimated: size formula,kept existing weight
Plasencia Cosecha 151 La Tradicion,52,140,18.3,estimated: size formula,kept existing weight
Plasencia Cosecha 151 San Diego,52,127,16.6,estimated: size formula,kept existing weight
Padron 5000 Maduro,56,140,18,estimated: size formula,kept existing weight
Oliva Serie V Robusto,52,127,16.6,estimated: size formula,kept existing weight
My Father Le Bijou 1922 Robusto,50,127,16.0,estimated: size formula,kept existing weight
Drew Estate Liga Privada T52 Robusto,52,127,16.6,estimated: size formula,kept existing weight
Foundation The Tabernacle Robusto,52,127,16.6,estimated: size formula,kept existing weight
Davidoff Nicaragua Toro,54,140,19.0,estimated: size formula,kept existing weight
Arturo Fuente Don Carlos No. 2,55,152,16.8,estimated: size formula,kept existing weight
Cohiba Robusto,50,124,15.6,estimated: size formula,kept existing weight
Cohiba Esplendidos,47,178,15.07,estimated: size formula,kept existing weight
Drew Estate Liga Privada Unico Flying Pig,60,127,19.2,estimated: size formula,kept existing weight
Drew Estate Liga Privada Unico Dirty Rat,44,127,14.1,estimated: size formula,kept existing weight
Davidoff Signature 6000,48,127,15.4,estimated: size formula,kept existing weight
Arturo Fuente Opus X Perfecxion No.2,48,152,45,estimated: size formula,kept existing weight
Plasencia Alma del Fuego Conception,54,152,20.7,estimated: size formula,kept existing weight
Plasencia Alma del Fuego Candente,50,127,16.0,estimated: size formula,kept existing weight
Plasencia Alma del Cielo Amanecer Hexagono,60,152,23.0,estimated: size formula,kept existing weight
Plasencia Reserva Original Toro,52,152,19.9,estimated: size formula,kept existing weight
Plasencia Reserva Original Cortez,56,140,19.8,estimated: size formula,kept existing weight
Plasencia Reserva Original Perfectico,52,159,20.8,estimated: size formula,kept existing weight
Plasencia Reserva 1898 Corona,43,152,16.5,estimated: size formula,kept existing weight
Plasencia Reserva 1898 Toro,54,152,20.7,estimated: size formula,kept existing weight
Plasencia Cosecha 149 Azacualpa,52,152,19.9,estimated: size formula,kept existing weight
Plasencia Cosecha 146 San Agustin,52,127,16.6,estimated: size formula,kept existing weight
Plasencia Cosecha 151 Corona Gorda,46,146,16.9,estimated: size formula,kept existing weight
Plasencia Alma del Campo Madrono,58,165,24.1,estimated: size formula,kept existing weight
Montecristo No.5,40,102,10.3,estimated: size formula,kept existing weight
H. Upmann Magnum 46,46,143,16.6,estimated: size formula,kept existing weight
